Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
MATH	72	Spring	Geometry,Honors Section	12	Vladimir Chernov	N/A	QDS	N/A	N/A	NR Eligible
MATH	72.01	Fall	Calculus on Manifolds	11	David Webb	N/A	QDS	N/A	N/A	N/A
MATH	73	Fall	Metric Spaces&Measure Thry	2	John Trout	N/A	QDS	N/A	N/A	N/A
MATH	74	Spring	Algebraic Topology	2A	Johannes van Erp	N/A	QDS	N/A	N/A	N/A
MATH	75	Spring	Number Theory: Honors	10	Asher Auel	N/A	QDS	N/A	N/A	NR Eligible
MATH	76	Spring	Topics in Applied Math	9L	Tongtong Li	N/A	QDS	N/A	N/A	NR Eligible
MATH	76.02	Summer	Computational Inverse Prob	9L	Anne Gelb	N/A	QDS	N/A	N/A	NR Eligible
MATH	76.03	Winter	Evolutionary Dynamics	10	Olivia Chu	N/A	QDS	N/A	N/A	N/A
MATH	81	Winter	Abstract Algebra	11	Eran Assaf	N/A	QDS	N/A	N/A	NR Eligible
MATH	86	Winter	Mathematical Finance I	2A	John Welborn	N/A	QDS	N/A	N/A	NR Eligible
MATH	87	Spring	Reading Course	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	87	Summer	Reading Course	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	87	Fall	Reading Course	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	87	Winter	Reading Course	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	97	Spring	Undergraduate Research	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	97	Summer	Undergraduate Research	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	97	Fall	Undergraduate Research	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	97	Winter	Undergraduate Research	ARR	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	100	Spring	Topics in Probability Theory	10	Peter Winkler	N/A	N/A	N/A	N/A	N/A
MATH	101	Fall	Linear and Multilinear Algebra	12	John Voight	N/A	N/A	N/A	N/A	NR Eligible
MATH	103	Fall	Metric Spaces & Measure Theory	2	John Trout	N/A	N/A	N/A	N/A	N/A
MATH	104	Winter	Differential Topology	10	Tsvetelina Petkova	N/A	N/A	N/A	N/A	NR Eligible
MATH	106	Winter	Topics in Applied Math	9L	Yoonsang Lee	N/A	N/A	N/A	N/A	N/A
MATH	107	Spring	Supervised Tutoring	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	107	Summer	Supervised Tutoring	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	107	Fall	Supervised Tutoring	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	107	Winter	Supervised Tutoring	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	108	Winter	Topics in Combinatorics	9L	Nadia Lafreniere	N/A	N/A	N/A	N/A	NR Eligible
MATH	111	Winter	Abstract Algebra	11	Eran Assaf	N/A	N/A	N/A	N/A	NR Eligible
MATH	113	Spring	Analysis	2	Dana Williams	N/A	N/A	N/A	N/A	N/A
MATH	114	Spring	Algebraic Topology	2A	Johannes van Erp	N/A	N/A	N/A	N/A	N/A
MATH	116	Winter	Applied Math	2	Tongtong Li	N/A	N/A	N/A	N/A	NR Eligible
MATH	117	Summer	First Year Graduate Seminar	10A	Sergi Elizalde	N/A	N/A	N/A	N/A	N/A
MATH	117	Fall	First Year Graduate Seminar	2A	Sergi Elizalde	N/A	N/A	N/A	N/A	N/A
MATH	117	Winter	First Year Graduate Seminar	2A	Sergi Elizalde	N/A	N/A	N/A	N/A	N/A
MATH	123	Winter	Current Prob in Analysis	2	Johannes van Erp	N/A	N/A	N/A	N/A	N/A
MATH	124	Spring	Current Prob in Topology	10	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	125	Winter	Current Prob Number Theory	12	Sarah Frei	N/A	N/A	N/A	N/A	N/A
MATH	126	Fall	Partial Differential Equations	9L	Yoonsang Lee	N/A	N/A	N/A	N/A	N/A
MATH	127	Spring	Reading Course	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	127	Summer	Reading Course	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	127	Fall	Reading Course	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	127	Winter	Reading Course	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	136	Spring	Intro to Applied Mathematics	3B	Jan Glaubitz	N/A	N/A	N/A	N/A	N/A
MATH	137	Spring	Independent Reading	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
MATH	137	Summer	Independent Reading	ARR	Vladimir Chernov	N/A	N/A	N/A	N/A	N/A
